PublishedLineName,DirectionRef,NextStopPointName
B11,0.0,50 ST/20 AV
B64,0.0,BAY RIDGE AV/COLONIAL RD
B35,0.0,39 ST/6 AV
B82,1.0,PENNSYLVANIA AV/VANDALIA AV
B82,0.0,SEAVIEW AV/PENNSYLVANIA AV
B13,0.0,GATES AV/ST NICHOLAS AV
B44,0.0,NEW YORK AV/BERGEN ST
B41,0.0,FLATBUSH AV/ATLANTIC AV
B54,1.0,MYRTLE AV/ST EDWARDS ST
B15,1.0,TROY AV/DEAN ST
B46-SBS,1.0,UTICA AV/EMPIRE BL
B6,1.0,CROPSEY AV/26 AV
B16,1.0,MARINE AV/4 AV
B1,1.0,86 ST/20 AV
B41,0.0,LIVINGSTON ST/HOYT ST
B52,0.0,FULTON ST/ASHLAND PL
B82,0.0,KINGS HY/W 7 ST
B35,1.0,CHURCH AV/MC DONALD AV
B8,1.0,18 AV/70 ST
B37,0.0,ATLANTIC AV/3 AV
B62,0.0,GOLD ST/SANDS ST
B2,0.0,FLATBUSH AV/AV U
B16,0.0,FT HAMILTON PY/66 ST
B26,0.0,HALSEY ST/WYCKOFF AV
B44-SBS,1.0,NOSTRAND AV/AV U
B35,0.0,CHURCH AV/E 42 ST
B46-SBS,0.0,UTICA AV/CHURCH AV
B8,1.0,LINDEN BL/THOMAS BOYLAND ST
B7,0.0,KINGS HY/FOSTER AV
B7,0.0,KINGS HY/TROY AV
B46,0.0,UTICA AV/WINTHROP ST
B9,1.0,AV N/OCEAN PY
B45,0.0,ST JOHNS PL/ROGERS AV
B15,1.0,N VAN WYCK SERVICE RD/STOP 11 BLDG 23
B46,0.0,BROADWAY/LORIMER ST
B3,1.0,AV U/KIMBALL ST
B45,1.0,ST JOHNS PL/RALPH AV
B67,0.0,7 AV/GARFIELD PL
B38,0.0,KOSSUTH PL/BUSHWICK AV
B46-SBS,1.0,UTICA AV/WINTHROP ST
B16,0.0,FT HAMILTON PY/74 ST
B65,1.0,BERGEN ST/BOND ST
B64,0.0,BAY RIDGE AV/RIDGE BL
B25,0.0,EAST NEW YORK AV/ALABAMA AV
B82,0.0,FLATLANDS AV/E 108 ST
B8,0.0,AV D/UTICA AV
B15,0.0,MARCUS GARVEY BL/FULTON ST
B46,1.0,BROADWAY/FLUSHING AV
B13,0.0,WYCKOFF AV/DE KALB AV
B6,0.0,AV H/UTICA AV
B82,1.0,KINGS HY/NOSTRAND AV
B6,0.0,BAY PY/E 3 ST
B46-SBS,0.0,MALCOLM X BL/GATES AV
B65,0.0,DEAN ST/5 AV
B20,1.0,PENNSYLVANIA AV/RIVERDALE AV
B52,1.0,GATES AV/WYCKOFF AV
B46,0.0,MALCOLM X BL/HALSEY ST
B69,1.0,NASSAU ST/GOLD ST
B60,0.0,WILSON AV/WILLOUGHBY AV
B38,0.0,DE KALB AV/MYRTLE AV
B16,1.0,86 ST/4 AV
B74,1.0,STILLWELL/TERMINAL
B9,1.0,60 ST/20 AV
B46-SBS,1.0,MALCOLM X BL/QUINCY ST
B15,0.0,MARCUS GARVEY BL/WILLOUGHBY AV
B44-SBS,1.0,NOSTRAND AV/CLARKSON AV
B65,0.0,ST MARKS AV/RALPH AV
B15,1.0,LINDEN BL/SHERIDAN AV
B9,0.0,AV M/E 9 ST
B17,1.0,REMSEN AV/CHURCH AV
B25,0.0,EAST NEW YORK AV/ALABAMA AV
B43,0.0,GRAHAM AV/BROADWAY
B17,0.0,REMSEN AV/AV M
B52,1.0,GATES AV/WYCKOFF AV
B45,1.0,LIVINGSTON ST/NEVINS ST
B82,0.0,FLATLANDS AV/REMSEN AV
B43,1.0,EMPIRE BL/NEW YORK AV
B83,0.0,VAN SICLEN AV/COZINE AV
B12,0.0,PARKSIDE AV/FLATBUSH AV
B9,1.0,4 AV/60 ST
B44,0.0,BEDFORD AV/HEWES ST
B1,1.0,BRIGHTON BEACH/CONEY ISLAND AV
B6,1.0,HARWAY AV/BAY 37 ST
B41,0.0,FLATBUSH AV/AV D
B14,1.0,EASTERN PY/RALPH AV
B17,0.0,SEAVIEW AV/E 93 ST
B54,0.0,MYRTLE AV/THROOP AV
B44,0.0,NOSTRAND AV/AV Y
B15,0.0,HEGEMAN AV/THOMAS S BOYLAND ST
B6,1.0,BAY PY/60 ST
B43,0.0,KINGSTON AV/ATLANTIC AV
B9,1.0,FLATBUSH AV/AV T
B47,0.0,BROADWAY/GREENE AV
B26,1.0,HALSEY ST/KNICKERBOCKER AV
B44,1.0,NOSTRAND AV/NEWKIRK AV
B12,1.0,EAST NEW YORK AV/E 96 ST
B62,1.0,JAY ST/WILLOUGHBY ST
B15,0.0,JFK AIRPORT/TERMINAL 5 AirTrain STATION
B8,0.0,AV D/E 42 ST
B64,0.0,BAY RIDGE AV/4 AV
B35,0.0,CHURCH AV/E 18 ST
B25,1.0,FULTON ST/HUDSON AV
B37,0.0,3 AV/MARINE AV
B36,1.0,NOSTRAND AV/AV X
B35,1.0,CHURCH AV/E 42 ST
B43,1.0,GRAHAM AV/JOHNSON AV
B45,0.0,LIVINGSTON ST/ COURT ST
B46,0.0,BROADWAY/JEFFERSON ST
B57,0.0,61 ST/GRAND AV
B44,0.0,NOSTRAND AV/AV S
B36,1.0,SURF AV/W 37 ST
B44,1.0,NOSTRAND AV/NEWKIRK AV
B49,1.0,BEDFORD AV/RUTLAND RD
B60,1.0,S 5 ST/RODNEY ST
B68,0.0,CONEY ISLAND AV/OCEAN VIEW AV
B62,0.0,DIVISION AV/LEE AV
B57,0.0,CLINTON ST/LORRAINE ST
B45,1.0,ATLANTIC AV/WAVERLY AV
B36,0.0,AV Z/E 13 ST
B46-SBS,0.0,MALCOLM X BL/DE KALB AV
B83,1.0,PENNSYLVANIA AV/PITKIN AV
B25,1.0,JORALEMON ST/COURT ST
B82,1.0,CROPSEY AV/BAY 38 ST
B68,1.0,CONEY ISLAND AV/AV M
B62,0.0,JAY ST/MYRTLE PLZ
B35,1.0,CHURCH AV/E 39 ST
B52,0.0,GATES AV/BROADWAY
B44-SBS,0.0,NOSTRAND AV/AV H
B7,1.0,SARATOGA AV/DUMONT AV
B47,1.0,RALPH AV/PACIFIC ST
B9,1.0,60 ST/5 AV
B1,0.0,AV X/OCEAN PY
B41,1.0,FLATBUSH AV/CHESTER CT
B64,1.0,BAY RIDGE AV/5 AV
B46-SBS,0.0,UTICA AV/CHURCH AV
B38,1.0,FULTON ST/DUFFIELD ST
B60,1.0,ROCKAWAY AV/FOSTER AV
B41,0.0,FLATBUSH AV/CLARKSON AV
B62,0.0,WYTHE AV/CLYMER ST
B8,0.0,7 AV/92 ST
B26,1.0,HALSEY ST/BEDFORD AV
B15,1.0,DREW ST/LINDEN BLVD
B35,1.0,39 ST/2 AV
B44,0.0,BEDFORD AV/PARK AV
B36,1.0,OCEAN PKY/SHORE PKY
B3,1.0,25 AV/HARWAY AV
B44-SBS,1.0,NOSTRAND AV/NEWKIRK AV
B9,1.0,60 ST/15 AV
B46,0.0,BROADWAY/ARION PL
B15,0.0,ALBANY AV/FULTON ST
B26,1.0,FULTON ST/HUDSON AV
B60,0.0,ROCKAWAY AV/PITKIN AV
B49,0.0,OCEAN AV/AV R
B41,0.0,FLATBUSH AV/FOSTER AV
B37,1.0,3 AV/39 ST
B57,0.0,FLUSHING AV/ONDERDONK AV
B15,0.0,LINDEN BL/ELDERT LA
B49,0.0,VOORHIES AV/E 14 ST
B69,1.0,FLUSHING AV / CLERMONT AV
B41,0.0,FLATBUSH AV/AV T
B2,0.0,AV S/COLEMAN ST
B65,1.0,BUFFALO AV/PROSPECT PL
B8,1.0,BEVERLY RD/E 58 ST
B46,0.0,BROADWAY/ARION PL
B62,1.0,DRIGGS AV/N 7 ST
B6,0.0,LIVONIA AV/ASHFORD ST
B61,0.0,SMITH ST/ATLANTIC AV
B38,0.0,LAFAYETTE AV/NOSTRAND AV
B36,0.0,NOSTRAND AV/AV Z
B46,0.0,UTICA AV/ATLANTIC AV
B1,0.0,86 ST/BAY PY
B20,0.0,PUTNAM AV/FAIRVIEW AV
B64,0.0,BATH AV/15 AV
B6,1.0,AV J/CONEY ISLAND AV
B8,0.0,AV D/NEW YORK AV
B41,1.0,FLATBUSH AV/PARK PL
B16,1.0,57 ST/12 AV
B26,1.0,FULTON ST/WASHINGTON AV
B9,1.0,AV M/E 7 ST
B52,0.0,FULTON ST/LAFAYETTE AV
B41,0.0,FLATBUSH AV/CHURCH AV
B1,1.0,AV X/OCEAN PY
B82,1.0,FLATLANDS AV/E 98 ST
B52,1.0,GATES AV/PATCHEN AV
B48,1.0,FRANKLIN AV/CARROLL ST
B11,1.0,AV I/CONEY ISLAND AV
B8,1.0,LINDEN BL/THOMAS BOYLAND ST
B49,0.0,OCEAN AV/KINGS HY
B82,0.0,KINGS HY/NOSTRAND AV
B25,1.0,JORALEMON ST/COURT ST
B63,0.0,5 AV/24 ST
B83,0.0,VAN SICLEN AV/LINDEN BL
B11,0.0,BEDFORD AV/AV J
B12,0.0,LEFFERTS AV/SCHENECTADY AV
B36,0.0,NOSTRAND AV/GRAVESEND NECK RD
B46,1.0,BROADWAY/WILLOUGHBY AV
B15,1.0,TROY AV/FULTON ST
B3,0.0,AV U/E 16 ST
B39,1.0,DELANCEY ST/ALLEN ST
B41,1.0,FLATBUSH AV/FILLMORE AV
B46-SBS,0.0,UTICA AV/AV N
B35,0.0,HEGEMAN AV/MOTHER GASTON BL
B3,0.0,25 AV/BATH AV
B25,1.0,FRONT ST/YORK ST
B38,0.0,LAFAYETTE AV/MARCY AV
B35,1.0,CHURCH AV/E 16 ST
B3,0.0,AV U/BEDFORD AV
B12,0.0,TROY AV/EAST NEW YORK AV
B1,1.0,86 ST/17 AV
B6,0.0,GLENWOOD RD/NOSTRAND AV
B14,0.0,EASTERN PY/ROCHESTER AV
B62,0.0,BEDFORD AV/N 12 ST
B41,0.0,FLATBUSH AV/TILDEN AV
B6,1.0,AV H/E 56 ST
B41,0.0,FLATBUSH AV/AV I
B26,1.0,HALSEY ST/MARCUS GARVEY BL
B46-SBS,1.0,UTICA AV/AV D
B60,1.0,ROCKAWAY AV/BLAKE AV
B12,1.0,PACIFIC ST/EAST NEW YORK AV
B15,0.0,NEW LOTS AV/BRADFORD ST
B65,0.0,ST MARKS AV/BUFFALO AV
B44-SBS,0.0,ROGERS AV/CHURCH AV
B63,0.0,ATLANTIC AV/CLINTON ST
B6,1.0,AV H/E 43 ST (LTD - not allowed)
B49,0.0,WEST END AV/HAMPTON AV
B45,1.0,ST JOHNS PL/NEW YORK AV
B1,1.0,ORIENTAL BL/KENSINGTON ST
B3,0.0,AV U/W 12 ST
B54,0.0,MYRTLE AV/FLEET PL
B44-SBS,0.0,NOSTRAND AV/AV L
B4,0.0,OCEAN AV/VOORHIES AV
